nta,Violations
Riverdale-Spuyten Duyvil,2857
Rockaway Beach-Arverne-Edgemere,5036
Rosebank-Shore Acres-Park Hill,5923
Rosedale,1281
Rossville-Woodrow,79
Rugby-Remsen Village,7829
Schuylerville-Throgs Neck-Edgewater Park,1504
Seagate-Coney Island,1681
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1419
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,4133
SoHo-Little Italy-Hudson Square,2826
SoHo-TriBeCa-Civic Center-Little Italy,1792
Soundview-Bruckner,4094
Soundview-Bruckner-Bronx River,21855
Soundview-Castle Hill-Clason Point-Harding Park,1681
Soundview-Clason Point,3055
South Jamaica,5923
South Ozone Park,5486
South Richmond Hill,1539
South Williamsburg,3141
Spring Creek-Starrett City,781
Springfield Gardens (North)-Rochdale Village,1259
Springfield Gardens (South)-Brookville,833
Springfield Gardens North,751
Springfield Gardens South-Brookville,459
Spuyten Duyvil-Kingsbridge,1263
St. Albans,4182
St. George-New Brighton,3322
Stapleton-Rosebank,957
Starrett City,264
Steinway,2134
Stuyvesant Heights,7554
Stuyvesant Town-Cooper Village,19
Stuyvesant Town-Peter Cooper Village,68
Sunnyside,6645
Sunset Park (Central),6498
Sunset Park (East)-Borough Park (West),4677
Sunset Park (West),8378
Sunset Park East,3623
Sunset Park West,3248
Throgs Neck-Schuylerville,3123
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,271
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heigh,416
Tompkinsville-Stapleton-Clifton-Fox Hills,1920
Tottenville-Charleston,129
Tremont,18213
Tribeca-Civic Center,750
Turtle Bay-East Midtown,806
University Heights (North)-Fordham,17251
University Heights (South)-Morris Heights,20597
University Heights-Morris Heights,5419
Upper East Side-Carnegie Hill,3789
Upper East Side-Lenox Hill-Roosevelt Island,3468
Upper East Side-Yorkville,3950
Upper West Side,4935
Upper West Side (Central),7459
Upper West Side-Lincoln Square,2111
Upper West Side-Manhattan Valley,6522
Van Cortlandt Village,4525
Van Nest-Morris Park-Westchester Square,2517
Wakefield-Woodlawn,12278
Washington Heights (North),19844
Washington Heights (South),28229
Washington Heights North,5746
Washington Heights South,8996
West Brighton,221
West Concourse,4869
West Farms,9185
West Farms-Bronx River,4466
West New Brighton-New Brighton-St. George,1340
West New Brighton-Silver Lake-Grymes Hill,1676
West Village,4643
Westchester Square,5320
Westchester-Unionport,2453
Westerleigh,132
Westerleigh-Castleton Corners,430
Whitestone,184
Whitestone-Beechhurst,444
Williamsbridge-Olinville,28598
Williamsburg,10098
Windsor Terrace,720
Windsor Terrace-South Slope,2307
Woodhaven,4277
Woodlawn-Wakefield,3076
Woodside,5026
Yorkville,1944
park-cemetery-etc-Bronx,24
park-cemetery-etc-Brooklyn,7
NA,1477
